"","state","note","duration"
"364",1,60,2
"365",21,95,0.375
"366",13,81,0.1875
"367",2,62,1
"368",19,91,1
"369",3,64,0.5
"370",12,79,1
"371",16,86,0.25
"372",1,60,0.75
"373",21,95,0.1875
"374",6,69,2
"375",3,64,4
"376",20,93,0.1875
"377",10,76,1
"378",17,88,0.375
"379",12,79,2
"380",17,88,0.75
"381",12,79,4
"382",1,60,0.125
"383",21,95,0.1875
"384",8,72,1.5
"385",12,79,0.5
"386",3,64,0.375
"387",9,74,3
"388",6,69,0.75
"389",17,88,2
"390",3,64,3
"391",4,65,0.25
"392",17,88,0.5
"393",22,96,4
"394",21,95,0.375
"395",15,84,0.5
"396",3,64,0.1875
"397",10,76,3
"398",17,88,1.5
"399",12,79,4
"400",15,84,0.5
"401",12,79,0.125
"402",11,77,2
"403",20,93,1
"404",6,69,0.25
"405",21,95,1.5
"406",18,89,2
"407",19,91,0.25
"408",18,89,1.5
"409",3,64,2
"410",12,79,0.1875
"411",16,86,2
"412",15,84,0.125
"413",2,62,0.75
"414",5,67,0.375
"415",11,77,0.5
"416",16,86,4
"417",2,62,0.5
"418",1,60,1
"419",14,83,0.5
"420",12,79,0.375
"421",1,60,2
