"","state","note","duration"
"511",18,93,3
"512",16,90,1
"513",17,91,1
"514",21,98,0.375
"515",20,96,2
"516",22,100,0.25
"517",18,93,1
"518",8,76,0.375
"519",6,72,0.5
"520",4,69,1.5
"521",3,67,1
"522",2,66,1
"523",4,69,3
"524",3,67,0.75
"525",2,66,1
